Model:GBQ L-05SLA, Latitude:31.823635,Longtitude:117.118226,SeaHeight:128,NorthAngle:0,LightBeamNum:-9999,Gate:100,SumShots:20000,PulseWidth:300,CNR:2,RangeResolution:30,ScanMode:PPI,From:0,To:350,Step:10,FixAngle:2,StartRange:15
Date_time,Temperature,Humidity,Pressure,Azimuth,Pitch,Distance,HWindSpeed(m/s),HWindDirection(бу),VWindSpeed (m/s)
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4515,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4545,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4575,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4605,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4635,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4665,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4695,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4725,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4755,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4785,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4815,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4845,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4875,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4905,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4935,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4965,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,4995,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,5025,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,5055,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,5085,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,5115,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,5145,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,5175,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,5205,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,5235,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,5265,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,5295,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,5325,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,5355,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,5385,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,5415,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,5445,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,5475,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,5505,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,5535,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,5565,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,5595,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,5625,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,5655,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,5685,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,5715,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,5745,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,5775,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,5805,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,5835,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,5865,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,5895,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,5925,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,5955,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,0,2,5985,-9999,-9999,-9999
2026/09/08 19:22:00,-9999,-9999,-9999,10,2,15,-9999,-9999,-9999
